peer,KPI,sort,Product,Hierarchy 1,average,Value,Rank,last,group,Code
Americas-focused vendors,Self-service,12,Looker,,6.336764591,10,1,,2,
Americas-focused vendors,Self-service,12,Phocas,,6.336764591,9.65,2,,2,
Americas-focused vendors,Self-service,12,Pyramid Analytics,,6.336764591,8.732758621,3,,2,
Americas-focused vendors,Self-service,12,sales-i,,6.336764591,4.75,10,,2,
Americas-focused vendors,Self-service,12,Sisense,,6.336764591,3.331081081,11,,2,
Americas-focused vendors,Self-service,12,Yellowfin,,6.336764591,5.138888889,9,,2,
Americas-focused vendors,Flexibility,13,BOARD,,7.351985386,9.809668585,1,,2,
Americas-focused vendors,Flexibility,13,Carriots Analytics,,7.351985386,7.17492782,8,,2,
Americas-focused vendors,Flexibility,13,Cyberscience,,7.351985386,3.703243778,12,,2,
Americas-focused vendors,Flexibility,13,Dimensional Insight,,7.351985386,8.915401656,4,,2,
Americas-focused vendors,Flexibility,13,Domo,,7.351985386,7.410038445,6,,2,
Americas-focused vendors,Flexibility,13,Dundas,,7.351985386,9.069517125,3,,2,
Americas-focused vendors,Flexibility,13,Looker,,7.351985386,9.805613329,2,,2,
Americas-focused vendors,Flexibility,13,Phocas,,7.351985386,8.342278424,5,,2,
Americas-focused vendors,Flexibility,13,Pyramid Analytics,,7.351985386,5.383766792,10,,2,
Americas-focused vendors,Flexibility,13,sales-i,,7.351985386,5.085467874,11,,2,
Americas-focused vendors,Flexibility,13,Sisense,,7.351985386,6.220281942,9,,2,
Americas-focused vendors,Flexibility,13,Yellowfin,,7.351985386,7.303618867,7,,2,
Americas-focused vendors,Ease of use,14,BOARD,,6.956150715,7.632313804,5,,2,
Americas-focused vendors,Ease of use,14,Carriots Analytics,,6.956150715,7.865193194,3,,2,
Americas-focused vendors,Ease of use,14,Cyberscience,,6.956150715,6.82279879,7,,2,
Americas-focused vendors,Ease of use,14,Dimensional Insight,,6.956150715,4.648415598,11,,2,
Americas-focused vendors,Ease of use,14,Domo,,6.956150715,7.790525132,4,,2,
Americas-focused vendors,Ease of use,14,Dundas,,6.956150715,4.32514064,12,,2,
Americas-focused vendors,Ease of use,14,Looker,,6.956150715,6.22589048,9,,2,
Americas-focused vendors,Ease of use,14,Phocas,,6.956150715,10,1,,2,
Americas-focused vendors,Ease of use,14,Pyramid Analytics,,6.956150715,8.490740671,2,,2,
Americas-focused vendors,Ease of use,14,sales-i,,6.956150715,6.000017518,10,,2,
Americas-focused vendors,Ease of use,14,Sisense,,6.956150715,6.390015269,8,,2,
Americas-focused vendors,Ease of use,14,Yellowfin,,6.956150715,7.282757482,6,,2,
Americas-focused vendors,Sales experience,15,BOARD,,8.95055645,7.292654489,11,,2,
Americas-focused vendors,Sales experience,15,Carriots Analytics,,8.95055645,n/a,n/a,,2,
Americas-focused vendors,Sales experience,15,Cyberscience,,8.95055645,8.496188227,10,,2,
Americas-focused vendors,Sales experience,15,Dimensional Insight,,8.95055645,9.060074399,6,,2,
Americas-focused vendors,Sales experience,15,Domo,,8.95055645,9.3299095,4,,2,
Americas-focused vendors,Sales experience,15,Dundas,,8.95055645,9.327098717,5,,2,
Americas-focused vendors,Sales experience,15,Looker,,8.95055645,9.705562287,1,,2,
Americas-focused vendors,Sales experience,15,Phocas,,8.95055645,9.622230859,2,,2,
Americas-focused vendors,Sales experience,15,Pyramid Analytics,,8.95055645,9.46482705,3,,2,
Americas-focused vendors,Sales experience,15,sales-i,,8.95055645,8.62534007,9,,2,
Americas-focused vendors,Sales experience,15,Sisense,,8.95055645,8.652051019,8,,2,
Americas-focused vendors,Sales experience,15,Yellowfin,,8.95055645,8.880184332,7,,2,
Americas-focused vendors,Data volume,16,BOARD,,2.423775597,1.028213166,10,,2,
Americas-focused vendors,Data volume,16,Carriots Analytics,,2.423775597,1.0169279,11,,2,
Americas-focused vendors,Data volume,16,Cyberscience,,2.423775597,1.853112405,6,,2,
Americas-focused vendors,Data volume,16,Dimensional Insight,,2.423775597,4.841021048,2,,2,
Americas-focused vendors,Data volume,16,Domo,,2.423775597,4.73354232,3,,2,
Americas-focused vendors,Data volume,16,Dundas,,2.423775597,1.87460815,5,,2,
Americas-focused vendors,Data volume,16,Looker,,2.423775597,n/a,n/a,,2,
Americas-focused vendors,Data volume,16,Phocas,,2.423775597,1.182445141,9,,2,
Americas-focused vendors,Data volume,16,Pyramid Analytics,,2.423775597,5.485893417,1,,2,
Americas-focused vendors,Data volume,16,sales-i,,2.423775597,1.287774295,8,,2,
Americas-focused vendors,Data volume,16,Sisense,,2.423775597,1.332915361,7,,2,
Americas-focused vendors,Data volume,16,Yellowfin,,2.423775597,2.02507837,4,,2,
Americas-focused vendors,Query performance,17,BOARD,,5.473818872,5.583001548,5,,2,
Americas-focused vendors,Query performance,17,Carriots Analytics,,5.473818872,4.937860724,7,,2,
Americas-focused vendors,Query performance,17,Cyberscience,,5.473818872,3.31809501,11,,2,
Americas-focused vendors,Query performance,17,Dimensional Insight,,5.473818872,10,1,,2,
Americas-focused vendors,Query performance,17,Domo,,5.473818872,5.904340533,3,,2,
Americas-focused vendors,Query performance,17,Dundas,,5.473818872,5.605687744,4,,2,
Americas-focused vendors,Query performance,17,Looker,,5.473818872,1.734922991,12,,2,
Americas-focused vendors,Query performance,17,Phocas,,5.473818872,5.457674073,6,,2,
Americas-focused vendors,Query performance,17,Pyramid Analytics,,5.473818872,9.691119514,2,,2,
Americas-focused vendors,Query performance,17,sales-i,,5.473818872,4.576943406,9,,2,
Americas-focused vendors,Query performance,17,Sisense,,5.473818872,4.05657717,10,,2,
Americas-focused vendors,Query performance,17,Yellowfin,,5.473818872,4.819603755,8,,2,
Americas-focused vendors,Performance satisfaction,18,BOARD,,6.765903985,6.750392465,8,,2,
Americas-focused vendors,Performance satisfaction,18,Carriots Analytics,,6.765903985,10,1,,2,
Americas-focused vendors,Performance satisfaction,18,Cyberscience,,6.765903985,8.901856764,3,,2,
Americas-focused vendors,Performance satisfaction,18,Dimensional Insight,,6.765903985,8.32388664,4,,2,
Americas-focused vendors,Performance satisfaction,18,Domo,,6.765903985,8.009615385,6,,2,
Americas-focused vendors,Performance satisfaction,18,Dundas,,6.765903985,6.815384615,7,,2,
Americas-focused vendors,Performance satisfaction,18,Looker,,6.765903985,3.443438914,11,,2,
Americas-focused vendors,Performance satisfaction,18,Phocas,,6.765903985,6.019230769,9,,2,
Americas-focused vendors,Performance satisfaction,18,Pyramid Analytics,,6.765903985,8.972704715,2,,2,
Americas-focused vendors,Performance satisfaction,18,sales-i,,6.765903985,8.06993007,5,,2,
Americas-focused vendors,Performance satisfaction,18,Sisense,,6.765903985,2.253638254,12,,2,
Americas-focused vendors,Performance satisfaction,18,Yellowfin,,6.765903985,3.630769231,10,,2,
Americas-focused vendors,Innovation,19,BOARD,,6.011213571,4.194071536,11,,1,
Americas-focused vendors,Innovation,19,Carriots Analytics,,6.011213571,6.327166197,4,,1,
Americas-focused vendors,Innovation,19,Cyberscience,,6.011213571,3.562157034,12,,1,
Americas-focused vendors,Innovation,19,Dimensional Insight,,6.011213571,5.662565679,10,,1,
Americas-focused vendors,Innovation,19,Domo,,6.011213571,7.920391009,1,,1,
Americas-focused vendors,Innovation,19,Dundas,,6.011213571,6.173763554,7,,1,
Americas-focused vendors,Innovation,19,Looker,,6.011213571,6.254445024,5,,1,
Americas-focused vendors,Innovation,19,Phocas,,6.011213571,5.73198702,9,,1,
Americas-focused vendors,Innovation,19,Pyramid Analytics,,6.011213571,6.183153443,6,,1,
Americas-focused vendors,Innovation,19,sales-i,,6.011213571,7.74779907,2,,1,
Americas-focused vendors,Innovation,19,Sisense,,6.011213571,5.905656741,8,,1,
Americas-focused vendors,Innovation,19,Yellowfin,,6.011213571,6.471406544,3,,1,
Americas-focused vendors,Cloud BI,20,BOARD,,5.438113643,2.227272727,12,,2,
Americas-focused vendors,Cloud BI,20,Carriots Analytics,,5.438113643,6.225806452,5,,2,
Americas-focused vendors,Cloud BI,20,Cyberscience,,5.438113643,2.44,11,,2,
Americas-focused vendors,Cloud BI,20,Dimensional Insight,,5.438113643,3.322580645,9,,2,
Americas-focused vendors,Cloud BI,20,Domo,,5.438113643,9.46,1,,2,
Americas-focused vendors,Cloud BI,20,Dundas,,5.438113643,3.769230769,8,,2,
Americas-focused vendors,Cloud BI,20,Looker,,5.438113643,9.1,2,,2,
Americas-focused vendors,Cloud BI,20,Phocas,,5.438113643,5.32,7,,2,
Americas-focused vendors,Cloud BI,20,Pyramid Analytics,,5.438113643,3,10,,2,
Americas-focused vendors,Cloud BI,20,sales-i,,5.438113643,8.5,3,,2,
Americas-focused vendors,Cloud BI,20,Sisense,,5.438113643,6.225806452,4,,2,
Americas-focused vendors,Cloud BI,20,Yellowfin,,5.438113643,5.666666667,6,,2,
Americas-focused vendors,Mobile BI,21,BOARD,,5.450657785,3.26778942,9,,2,
Americas-focused vendors,Mobile BI,21,Carriots Analytics,,5.450657785,1.790991486,12,,2,
Americas-focused vendors,Mobile BI,21,Cyberscience,,5.450657785,2.150360214,11,,2,
Americas-focused vendors,Mobile BI,21,Dimensional Insight,,5.450657785,2.903323263,10,,2,
Americas-focused vendors,Mobile BI,21,Domo,,5.450657785,9.706344411,2,,2,
Americas-focused vendors,Mobile BI,21,Dundas,,5.450657785,5.350453172,6,,2,
Americas-focused vendors,Mobile BI,21,Looker,,5.450657785,5.795385883,4,,2,
Americas-focused vendors,Mobile BI,21,Phocas,,5.450657785,9.265861027,3,,2,
Americas-focused vendors,Mobile BI,21,Pyramid Analytics,,5.450657785,5.350453172,7,,2,
Americas-focused vendors,Mobile BI,21,sales-i,,5.450657785,10,1,,2,
Americas-focused vendors,Mobile BI,21,Sisense,,5.450657785,4.126888218,8,,2,
Americas-focused vendors,Mobile BI,21,Yellowfin,,5.450657785,5.700043159,5,,2,
Americas-focused vendors,Operational BI,22,BOARD,,7.971821386,n/a,n/a,,2,
Americas-focused vendors,Operational BI,22,Carriots Analytics,,7.971821386,6.689655172,7,,2,
Americas-focused vendors,Operational BI,22,Cyberscience,,7.971821386,9.497536946,2,,2,
Americas-focused vendors,Operational BI,22,Dimensional Insight,,7.971821386,n/a,n/a,,2,
Americas-focused vendors,Operational BI,22,Domo,,7.971821386,10,1,,2,
Americas-focused vendors,Operational BI,22,Dundas,,7.971821386,6.985221675,6,,2,
Americas-focused vendors,Operational BI,22,Looker,,7.971821386,7.724137931,5,,2,
Americas-focused vendors,Operational BI,22,Phocas,,7.971821386,n/a,n/a,,2,
Americas-focused vendors,Operational BI,22,Pyramid Analytics,,7.971821386,6.118906064,8,,2,
Americas-focused vendors,Operational BI,22,sales-i,,7.971821386,7.889655172,4,,2,
Americas-focused vendors,Operational BI,22,Sisense,,7.971821386,n/a,n/a,,2,
Americas-focused vendors,Operational BI,22,Yellowfin,,7.971821386,8.869458128,3,,2,
Americas-focused vendors,Visual design standards,23,BOARD,,3.814750163,6.627906977,2,,2,
Americas-focused vendors,Visual design standards,23,Carriots Analytics,,3.814750163,4.936507937,5,,2,
Americas-focused vendors,Visual design standards,23,Cyberscience,,3.814750163,1.106666667,11,,2,
Americas-focused vendors,Visual design standards,23,Dimensional Insight,,3.814750163,7.49382716,1,,2,
Americas-focused vendors,Visual design standards,23,Domo,,3.814750163,2.481481481,8,,2,
Americas-focused vendors,Visual design standards,23,Dundas,,3.814750163,5.857142857,3,,2,
Americas-focused vendors,Visual design standards,23,Looker,,3.814750163,1,12,,2,
Americas-focused vendors,Visual design standards,23,Phocas,,3.814750163,1.407407407,10,,2,
Americas-focused vendors,Visual design standards,23,Pyramid Analytics,,3.814750163,5.857142857,4,,2,
Americas-focused vendors,Visual design standards,23,sales-i,,3.814750163,1.820512821,9,,2,
Americas-focused vendors,Visual design standards,23,Sisense,,3.814750163,4.333333333,6,,2,
Americas-focused vendors,Visual design standards,23,Yellowfin,,3.814750163,2.855072464,7,,2,
Americas-focused vendors,Location intelligence,24,BOARD,,6.644482983,4.043478261,10,,2,
Americas-focused vendors,Location intelligence,24,Carriots Analytics,,6.644482983,9.8,2,,2,
Americas-focused vendors,Location intelligence,24,Cyberscience,,6.644482983,1.8,12,,2,
Americas-focused vendors,Location intelligence,24,Dimensional Insight,,6.644482983,5.242424242,9,,2,
Americas-focused vendors,Location intelligence,24,Domo,,6.644482983,8.692307692,4,,2,
Americas-focused vendors,Location intelligence,24,Dundas,,6.644482983,6.517241379,8,,2,
Americas-focused vendors,Location intelligence,24,Looker,,6.644482983,6.882352941,6,,2,
Americas-focused vendors,Location intelligence,24,Phocas,,6.644482983,2.666666667,11,,2,
Americas-focused vendors,Location intelligence,24,Pyramid Analytics,,6.644482983,10,1,,2,
Americas-focused vendors,Location intelligence,24,sales-i,,6.644482983,8.058823529,5,,2,
Americas-focused vendors,Location intelligence,24,Sisense,,6.644482983,6.882352941,7,,2,
Americas-focused vendors,Location intelligence,24,Yellowfin,,6.644482983,9.148148148,3,,2,
Americas-focused vendors,Visual analysis,25,BOARD,,7.860503765,4.803910293,10,,2,
Americas-focused vendors,Visual analysis,25,Carriots Analytics,,7.860503765,7.776061776,7,,2,
Americas-focused vendors,Visual analysis,25,Cyberscience,,7.860503765,4.378378378,11,,2,
Americas-focused vendors,Visual analysis,25,Dimensional Insight,,7.860503765,6.675675676,9,,2,
Americas-focused vendors,Visual analysis,25,Domo,,7.860503765,9.665540541,2,,2,
Americas-focused vendors,Visual analysis,25,Dundas,,7.860503765,9.027027027,5,,2,
Americas-focused vendors,Visual analysis,25,Looker,,7.860503765,n/a,n/a,,2,
Americas-focused vendors,Visual analysis,25,Phocas,,7.860503765,10,1,,2,
Americas-focused vendors,Visual analysis,25,Pyramid Analytics,,7.860503765,9.243243243,4,,2,
Americas-focused vendors,Visual analysis,25,sales-i,,7.860503765,7.965601966,6,,2,
Americas-focused vendors,Visual analysis,25,Sisense,,7.860503765,9.513513514,3,,2,
Americas-focused vendors,Visual analysis,25,Yellowfin,,7.860503765,7.416589003,8,,2,
Americas-focused vendors,Data Preparation,26,BOARD,,5.250173208,n/a,n/a,,2,
Americas-focused vendors,Data Preparation,26,Carriots Analytics,,5.250173208,4.421034026,4,,2,
Americas-focused vendors,Data Preparation,26,Cyberscience,,5.250173208,n/a,n/a,,2,
Americas-focused vendors,Data Preparation,26,Dimensional Insight,,5.250173208,8.337563086,1,,2,
Americas-focused vendors,Data Preparation,26,Domo,,5.250173208,n/a,n/a,,2,
Americas-focused vendors,Data Preparation,26,Dundas,,5.250173208,4.32260274,5,,2,
Americas-focused vendors,Data Preparation,26,Looker,,5.250173208,n/a,n/a,,2,
Americas-focused vendors,Data Preparation,26,Phocas,,5.250173208,n/a,n/a,,2,
Americas-focused vendors,Data Preparation,26,Pyramid Analytics,,5.250173208,3.712328767,6,,2,
Americas-focused vendors,Data Preparation,26,sales-i,,5.250173208,n/a,n/a,,2,
Americas-focused vendors,Data Preparation,26,Sisense,,5.250173208,6.153424658,2,,2,
Americas-focused vendors,Data Preparation,26,Yellowfin,,5.250173208,4.554085971,3,,2,
Americas-focused vendors,Embedded BI,27,BOARD,,6.747340227,n/a,n/a,,2,
Americas-focused vendors,Embedded BI,27,Carriots Analytics,,6.747340227,8.977272727,2,,2,
Americas-focused vendors,Embedded BI,27,Cyberscience,,6.747340227,n/a,n/a,,2,
Americas-focused vendors,Embedded BI,27,Dimensional Insight,,6.747340227,n/a,n/a,,2,
Americas-focused vendors,Embedded BI,27,Domo,,6.747340227,5.437062937,6,,2,
Americas-focused vendors,Embedded BI,27,Dundas,,6.747340227,7.561188811,4,,2,
Americas-focused vendors,Embedded BI,27,Looker,,6.747340227,7.024793388,5,,2,
Americas-focused vendors,Embedded BI,27,Phocas,,6.747340227,n/a,n/a,,2,
Americas-focused vendors,Embedded BI,27,Pyramid Analytics,,6.747340227,3.312937063,8,,2,
Americas-focused vendors,Embedded BI,27,sales-i,,6.747340227,10,1,,2,
